"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","7137","{""responseInput"":""champion ""}","survey-html-form","2","70967","success","","","","","",""
"questionnaire","106296","{""prompt1"":3,""prompt2"":3,""prompt3"":2,""prompt4"":1,""prompt5"":2,""prompt6"":2,""prompt7"":4,""prompt8"":1,""prompt9"":4,""prompt10"":3}","survey-likert","3","177264","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","2872","b","html-keyboard-response","6","208050","","","practice","village","blue","neutral","true"
"est","1395","g","html-keyboard-response","8","209700","","","practice","jacket","green","neutral","true"
"est","1139","b","html-keyboard-response","10","211093","","","practice","ceiling","blue","neutral","true"
"est","518","g","html-keyboard-response","12","211863","","","practice","plastic","green","neutral","true"
"est","604","g","html-keyboard-response","14","212721","","","practice","holiday","green","neutral","true"
"est","623","g","html-keyboard-response","16","213599","","","practice","printer","green","neutral","true"
"est","967","g","html-keyboard-response","18","214819","","","practice","jacket","green","neutral","true"
"est","729","g","html-keyboard-response","20","215801","","","practice","diamond","green","neutral","true"
"est","662","g","html-keyboard-response","22","216716","","","practice","stadium","green","neutral","true"
"est","3402","r","html-keyboard-response","24","220373","","","practice","picture","red","neutral","true"
"est","1049","b","html-keyboard-response","26","221676","","","practice","helmet","blue","neutral","true"
"est","1702","r","html-keyboard-response","28","223631","","","practice","caramel","red","neutral","true"
"est","803","r","html-keyboard-response","30","224689","","","practice","journal","red","neutral","true"
"est","1076","b","html-keyboard-response","32","226017","","","practice","balloon","blue","neutral","true"
"est","400","b","html-keyboard-response","34","226671","","","practice","diamond","red","neutral","false"
"est","1152","r","html-keyboard-response","36","228076","","","practice","highway","red","neutral","true"
"est","829","b","html-keyboard-response","38","229160","","","practice","ceiling","blue","neutral","true"
"est","886","b","html-keyboard-response","40","230299","","","practice","airport","blue","neutral","true"
"est","463","g","html-keyboard-response","42","231015","","","practice","sandbox","green","neutral","true"
"est","1092","b","html-keyboard-response","44","232361","","","practice","balloon","blue","neutral","true"
"est","461","b","html-keyboard-response","46","233076","","","practice","plastic","blue","neutral","true"
"est","537","g","html-keyboard-response","48","233867","","","practice","picture","green","neutral","true"
"est","543","r","html-keyboard-response","50","234663","","","practice","curtain","red","neutral","true"
"est","749","g","html-keyboard-response","52","235666","","","practice","elevator","green","neutral","true"
"est","988","b","html-keyboard-response","54","236906","","","practice","caramel","blue","neutral","true"
"est","496","r","html-keyboard-response","56","237655","","","practice","blanket","red","neutral","true"
"est","542","r","html-keyboard-response","58","238451","","","practice","plastic","red","neutral","true"
"est","561","g","html-keyboard-response","60","239268","","","practice","helmet","green","neutral","true"
